composer,url,title,date,from,originator,arranger,text author,duration,difficulty level,voicing,voicing notes,soloists,instruments,language,,,,sample performance,range notes,tessitura notes,vocal line notes,voice type notes,accompaniment,general notes,provided by
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,7 Songs Of The Rubaiyat,2001,,,,"Omar Kyayyam, translated by Edward Fitzgerald","10'00""",3,SATB Divisi,,,,English,https://www.presser.com/312-41796-seven-songs-of-the-rubaiyat.html,,https://youtu.be/1ZX_t_r2z4g,https://youtu.be/nYRmqxSWpZ4,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,"Arise, My Beloved",2002,,,,Anonymous,"2'00""",3,SATB,,,,English,https://www.presser.com/312-41791-arise-2c-my-beloved.html,,https://youtu.be/ITMkZ_AbL9s,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Break Forth,,,,,,"8'30""",,SATB,,,223*2/0331/timp/2perc/org/choir/str,English,https://www.presser.com/116-40104-break-forth.html,https://www.presser.com/116-40104-break-forth.html,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Break Forth,2001,,,,ISAIAH 52:7-9 (The Bible),"7'00""",,SATB Divisi,,,"2tpt (Bb), 2tbn, timp, org",English,https://www.presser.com/312-41724-break-forth.html,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Carol For All Children,1995,,,,Adolphus Hailstork,"4'00""",2,SATB,,,,English,http://www.alliancemusic.com/product.cfm?iProductID=140,http://www.alliancemusic.com/product.cfm?iProductID=140,https://www.jwpepper.com/Carol-for-All-Children/1986660.item#/submit,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Cease Sorrows Now,1977,,,,,,,SATB Divisi,,,,English,https://www.jwpepper.com/Cease-Sorrows-Now/1329242.item#/submit,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Christmas Canticle (A Virgin Shall Conceive),2003,,,,Anonymous,"3'00""",,SATB,,,,English,https://www.presser.com/312-41822-a-christmas-canticle.html,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Crispus Attucks,2003,,,, Herbert Martin,"45'00""",6,SATB,,"Mezzo-Soprano, Tenor, ",1*11*1/2130/timp/perc/mezzo/ten/bass/choir/str,,https://www.presser.com/116-40106-crispus-attucks.html,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Crucifixion (No. 3),1994,5 Short Choral Works:,,,Anonymous,"4'30""",3,SATB,,,,English,https://www.presser.com/312-41646-five-short-choral-works-3a-crucifixion.html,,https://youtu.be/k_OMF-d05TQ,https://youtu.be/at99tANe4gQ,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Done Made My Vow,1985,,,,Adolphus Hailstork,"45'00""",3,SATB Divisi,,"Treble (Child age 10-14), Soprano, and Tenor Solos",3*222/433*1/timp/5perc/cel/narr/voice/choirstr,English,https://www.presser.com/116-40107-done-made-my-vow.html,https://www.presser.com/116-40107-done-made-my-vow.html,,https://youtu.be/TZG5We9OH2c,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Earthrise (A Song Of Healing),2005,,,,Friedrich Schiller,"28'00""",3,Multiple Chorus (SATB/SATB),,Soprano,"2fl+picc - 2ob - 2cl - 2bsn+cbsn / 4hn - 3tpt(C) - 3tbn - 1tba / timp,2perc / pno / hp / str",English,https://www.presser.com/116-40108-earthrise.html,https://issuu.com/theodorepresser/docs/earthrise_fullscore,,,,,,,,The soprano soloist (m 390) must be in the African American Chorus not seated in front of the orchestra,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,"Gift of the Magi, The",2013,,,,,31',,SSA,,Dancer,22*10/0000/perc/cel/hp/choir/str,English,https://www.presser.com/116-40129-the-gift-of-the-magi.html,,,https://www.youtube.com/watch?v=aljSbJJI_zI,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,God Of Glory Thunders,1999,,,,,6'00'',3,SATB Divisi,,,,English,https://www.emsmusic.com/product_p/ems213997.htm,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Good-Night,2011,,,,Francis Quarles,"5'00""",,SATB Divisi,,Soprano Solo,,English,https://www.presser.com/312-41862-a+good-night.html,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,I Am Only One,2002,,,,Edward Everett Hale,"2'00""",2,"SATB, SSA",,,pno,English,http://www.alliancemusic.com/product.cfm?iProductID=560,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,I Will Lift Up Mine,,,,,,"12'00""",,SATB,,Tenor,1111/1110/timp/perc/ten/choir/str,,https://www.presser.com/116-40114-i-will-lift-up-mine-eyes.html,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,I Will Lift Up Mine Eyes,1997,I Will Lift Up Mine Eyes,,,ADOLPHUS HAILSTORK,"18'00""",3,SATB,,Tenor Solo,orchestra,English,https://www.presser.com/116-40114-i-will-lift-up-mine-eyes.html,,,https://youtu.be/SOR5JJXQVrI?t=29,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,I Will Sing Of Life (No. 1),1994,5 Short Choral Works,,,Arthur Graham,"7'00""",4,SATB,,,,English,https://www.jwpepper.com/I-Will-Sing-of-Life/1955467.item#.YkhzzSjMKUk,,https://youtu.be/kgA1OXWUQ5g,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,I'll Trust In The Lord And Do The Best I Can,1994,,,,,"3'00""",,SATB Divisi,,Solo voice,,English,https://www.presser.com/312-41793-i-27ll-trust-in-the-lord-and-do-the-best-i-can.html,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Into A Time,2012,,,,Rev. Randolph W.B. Becker,"2'00""",3,SATB,,,,English,https://www.presser.com/312-41861-into-a-time.html,,https://youtu.be/mLSlYrM3sC4,,,,,,,"Composed in response to 9/11, this optimistic and peaceful text is equally appropriate for secular and sacred use, with inspirationally calming music.",
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Kwanzaa Litany (Let It Be So),1997,,,,,"6'00""",,TTB/TBB,,Bass Solo,perc,English,https://www.presser.com/312-41820-a-kwanzaa-litany.html,,,,,,,,,"TTB - https://www.presser.com/312-41820-a-kwanzaa-litany.html
SATB - https://www.presser.com/312-41821-a-kwanzaa-litany.html",
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,"Lead Gently, Lord (No. 2)",2009,3 Dunbar Hymns,,,Laurence Dunbar,"3'00""",3,SSA,,,,English,https://www.jwpepper.com/Lead-Gently-Lord/10082707.item#/submit,,https://www.jwpepper.com/Lead-Gently-Lord/10082707.item#/submit,https://youtu.be/9QY4VmcEeNs,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Little Lamb (No. 3),2009,3 Dunbar Hymns,,,Paul Laurence Dunbar,"2'00""",2,SATB,,,,English,https://www.jwpepper.com/Little-Lamb/10082709.item#.YkhypijMKUk,,https://www.jwpepper.com/Little-Lamb/10082709.item#/,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Meditation (Think On These Things),2014,,,,,"4'30""",3,SSAA,,,,English,https://www.presser.com/312-41870-meditation.html,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Missa Brevis,2008,,,,Traditional Mass Text,"10'00""",,SSAA,,,,Latin,https://www.presser.com/312-41835-missa-brevis-for-treble-chorus.html,https://www.sheetmusicplus.com/title/missa-brevis-for-treble-chorus-sheet-music/5073985,,,,,,,,Helpful article: https://choralnet.org/2020/10/one-from-the-folder-repertoire-thoughts-for-womens-treble-choirs-32/,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Nocturne (No. 2),1994,5 Short Choral Works,,,Jim Curtis,"6'00""",3,SATB Divisi,,Soprano Solo,,English,https://www.presser.com/312-41645-five+short+choral+works%3a+nocturne.html,,,https://ms-my.facebook.com/concordiachoir/videos/nocturne-adolphus-hailstork/1341320216253696/,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,O Praise The Lord,1995,,,,,"4'00""",4,SATB Divisi,,,,English,https://www.jwpepper.com/O-Praise-the-Lord/1986652.item#/submit,,https://www.jwpepper.com/O-Praise-the-Lord/1986652.item#/submit,https://youtu.be/oB_RA09pOjg,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,"Serenade ""To Hearts Which Near Each Other Move""",2001,,,,Percy Shelley,"25'00""",,SATB,,,23*22/3000/cel/hp/choir/str,English,https://www.presser.com/116-40120-serenade.html,https://www.presser.com/116-40120-serenade.html,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Set Me As A Seal Upon Your Heart,,,,,,"4'00""",3,SATB Divisi,,,,English,https://www.boosey.com/shop/prod/Hailstork-Adolphus-Set-Me-As-A-Seal-Upon-Thine-Heart-SATB/681750,,https://youtu.be/f_D2dFnZKlU,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Shout For Joy,1990,,,,,"12'00""",3,SATB Divisi,,,org,English,https://www.presser.com/312-41758-shout-for-joy.html,,https://youtu.be/RlL4h0zEkBo,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Song Of Deborah,,,,,John Barnard,"6'00""",3,SATB Divisi,,Soprano and Alto Solos,,English,https://www.jwpepper.com/Song-of-Deborah/1986538.item#/submit,,https://www.youtube.com/watch?v=pQMJ6oPkD2s&ab_channel=ChoirofNewCollegeOxford-Topic,https://youtu.be/abCw5ffET5I,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Songs Of Innocence,2004,,,,William Blake,"34'00""",,SATB Divisi,,"Soprano, Mezzo-Soprano, and Baritone Solos",3*3*00/0000/perc/cel/hp/sop/mezzo/bar/choir/str,English,https://www.presser.com/412-41083-songs-of-innocence.html,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,Songs Of Innocence,2004,,,,William Blake,"34'00""",,SATB Divisi,,"Soprano, Mezzo-Soprano, and Baritone Solos",pno,English,https://www.presser.com/116-40125-songs-of-innocence.html,,,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,The Cloths Of Heaven,1994,5 Short Choral Works,,,William Butler Yeats,"3'00""",3,SATB Divisi,,,,English,https://www.presser.com/312-41647-five+short+choral+works%3a+the+cloths+of+heaven.html,,https://youtu.be/NIhw6ONmNM8,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,The Lamb (No. 5),1994,5 Short Choral Works,,,William Blake,6'00'',3,SATB,,,,English,https://www.presser.com/312-41648-the-lamb.html,,https://youtu.be/C0X57cgpvqA,,,,,,,,
ADOLPHUS HAILSTORK,https://www.adolphushailstork.com/,They That Wait Upon The Lord,2002,,,,,"3'45""",3,SATB Divisi,,Soprano Solo,,English,https://www.presser.com/312-41825-they-that-wait-upon-the-lord.html,,,https://youtu.be/Jy39Mf6_NeU?t=21,,,,,,,
